start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijrichting;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-06-19 00:21:00;2019-06-19 00:22:00;1;180;106;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:21:00;2019-06-19 00:22:00;1;120;86;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:22:00;2019-06-19 00:23:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:22:00;2019-06-19 00:23:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:22:00;2019-06-19 00:23:00;1;60;120;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:22:00;2019-06-19 00:23:00;1;300;115;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:22:00;2019-06-19 00:23:00;1;300;90;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:22:00;2019-06-19 00:23:00;1;120;100;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:23:00;2019-06-19 00:24:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:23:00;2019-06-19 00:24:00;1;60;129;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:23:00;2019-06-19 00:24:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:23:00;2019-06-19 00:24:00;1;60;115;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:23:00;2019-06-19 00:24:00;1;240;93;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:23:00;2019-06-19 00:24:00;1;120;91;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:24:00;2019-06-19 00:25:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:24:00;2019-06-19 00:25:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:24:00;2019-06-19 00:25:00;1;120;125;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:24:00;2019-06-19 00:25:00;1;240;125;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:24:00;2019-06-19 00:25:00;1;420;108;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:24:00;2019-06-19 00:25:00;1;60;120;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:25:00;2019-06-19 00:26:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:25:00;2019-06-19 00:26:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:25:00;2019-06-19 00:26:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:25:00;2019-06-19 00:26:00;1;240;118;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:25:00;2019-06-19 00:26:00;1;360;97;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:25:00;2019-06-19 00:26:00;1;60;83;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:26:00;2019-06-19 00:27:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:26:00;2019-06-19 00:27:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:26:00;2019-06-19 00:27:00;1;120;121;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:26:00;2019-06-19 00:27:00;1;120;126;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:26:00;2019-06-19 00:27:00;1;120;88;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:26:00;2019-06-19 00:27:00;1;120;101;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:27:00;2019-06-19 00:28:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:27:00;2019-06-19 00:28:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:27:00;2019-06-19 00:28:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:27:00;2019-06-19 00:28:00;1;300;124;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:27:00;2019-06-19 00:28:00;1;420;102;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:27:00;2019-06-19 00:28:00;1;120;103;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:28:00;2019-06-19 00:29:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:28:00;2019-06-19 00:29:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:28:00;2019-06-19 00:29:00;1;60;125;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:28:00;2019-06-19 00:29:00;1;120;110;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:28:00;2019-06-19 00:29:00;1;300;101;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:28:00;2019-06-19 00:29:00;1;120;82;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
